Name,Cost,Aniket,Harish,Omkar,Total
"Pringles Potato Crisps Chips, Lunch Snacks, Snacks On The Go, Sour Cream and Onion, 5.5oz, 1 Can",1.57,0,0,0
"Malt-O-Meal Raisin Bran, 39 oz",4.98,0,0,0
"Great Value Large White Eggs, 18 Count",2.19,0,0,0
Tombstone Four Meat Frozen Pizza 21.1 oz.,7.74,0,0,0
ChapStick Classic Strawberry Lip Balm Tubes - 0.15 Oz (Pack of 12),1.0,0,0,0
"Pompeian Smooth Extra Virgin Olive Oil, 16 fl oz",4.66,0,0,0
"Imperial: Dark Brown Sugar, 32 Oz",1.78,0,0,0
Fresh Frozen? Cut Okra 28 oz. Bag,3.32,0,0,0
"Great Value Chopped Spinach, 12 oz",3.0,0,0,0
"Great Value Lentils, 4 lb",4.88,0,0,0
"Artisan Sweet Red Onions, 3 Lb.",5.36,0,0,0
"Great Value Plain Nonfat Yogurt, 32 oz",7.44,0,0,0
"Post Cocoa PEBBLES, Gluten Free, 30 oz",5.98,0,0,0
Pepsodent Complete Care Original Toothpaste 5.5oz,0.88,0,0,0
Dove Nutritive Solutions Shampoo for Damaged Hair Intensive Repair 31 oz,7.93,0,0,0
"Yoplait Original Yogurt, Smooth Style Strawberry, Low Fat Yogurt, 32 oz",9.32,0,0,0
"Great Value Boneless Skinless Chicken Breast, 10 lb. (Frozen)",19.28,0,0,0
"Roma Tomatoes, each",1.04,0,0,0
"Simply Perfect Russet Potatoes, 5lb bag",2.26,0,0,0
"Organic Bananas, Bunch",3.45,0,0,0
Freshness Guaranteed Fuji Apples 3 Lb Bag,3.47,0,0,0
